,case_number,year,type,country,age,species_,date,mes,fatal,sexo
0,2018.06.25,2018,Boating,usa,57,White shark,25-Jun-2018,Jun,n,F
1,2018.06.03.a,2018,Unprovoked,brazil,18,Tiger shark,03-Jun-2018,Jun,y,M
2,2018.05.26.b,2018,Unprovoked,usa,15,"Bull shark, 6'",26-May-2018,May,n,M
3,2018.05.24,2018,Provoked,australia,32,Grey reef shark,24-May-2018,May,n,M
4,2018.05.13.a,2018,Invalid,england,21,Invalid incident,13-May-2018,May,n,M
5,2018.04.28.b,2018,Unprovoked,costa rica,30,Tiger shark,28-Apr-2018,Apr,n,M
6,2018.04.25.a,2018,Unprovoked,australia,60,3 m shark,25-Apr-2018,Apr,n,M
7,2018.04.23,2018,Unprovoked,maldives,32,Tiger shark,23-Apr-2018,Apr,n,M
8,2018.04.22,2018,Unprovoked,south africa,33,"White shark, 2.5 m",22-Apr-2018,Apr,n,M
9,2018.04.03,2018,Unprovoked,south africa,19,White shark,03-Apr-2018,Apr,n,M
10,2018.03.31,2018,Unprovoked,usa,25,"Tiger shark, 12'",31-Mar-2018,Mar,n,M
11,2018.03.14,2018,Unprovoked,australia,10,Wobbegong shark,14-Mar-2018,Mar,n,M
12,2018.03.09.b,2018,Unprovoked,australia,69,3.5 m shark,9-Mar-2018,Mar,n,M
13,2018.03.09.a,2018,Unprovoked,australia,18,1.8 m shark,9-Mar-2018,Mar,n,M
14,2018.02.23,2018,Unprovoked,australia,55,"Juvenile white shark,  2.7 to 3.2 m",23-Feb-2018,Feb,n,F
15,2018.02.15,2018,Unprovoked,australia,35,"Bull shark, 2 m",15-Feb-2018,Feb,n,M
16,2018.01.12,2018,Unprovoked,brazil,20,small shark,12-Jan-2018,Jan,n,M
17,2017.12.31,2017,Unprovoked,usa,54,Tiger shark,31-Dec-2017,Dec,n,F
18,2017.11.24,2017,Unprovoked,usa,25,"White shark, 4.6 m",24-Nov-2017,Nov,n,M
19,2017.11.13,2017,Unprovoked,australia,25,2 m shark,13-Nov-2017,Nov,n,M
20,2017.11.04,2017,Unprovoked,cuba,22,Tiger shark,04-Nov-2017,Nov,y,M
21,2017.10.28,2017,Unprovoked,australia,31,"Wobbegong shark, 1 m",28-Oct-2017,Oct,n,M
22,2017.10.22,2017,Unprovoked,australia,15,"White shark, 4.5 m",22-Oct-2017,Oct,n,F
23,2017.10.09,2017,Unprovoked,usa,54,"Tiger shark, 8 to 10 feet",09-Oct-2017,Oct,n,M
24,2017.10.05,2017,Unprovoked,usa,40,8' shark,05-Oct-2017,Oct,n,F
25,2017.09.24.b,2017,Invalid,usa,33,Questionable,24-Sep-2017,Sep,,M
26,2017.09.13,2017,Unprovoked,usa,18,5' to 6' shark,13-Sep-2017,Sep,n,M
27,2017.09.10.a,2017,Unprovoked,australia,35,"White shark, 3 to 3.5m ",10-Sep-2017,Sep,n,M
28,2017.08.29,2017,Unprovoked,australia,37,"White shark, 3 m",29-Aug-2017,Aug,n,M
29,2017.08.26.b,2017,Invalid,spain,11,Shark involvement questionable,26-Aug-2017,Aug,,F
30,2017.08.23,2017,Unprovoked,usa,69,"White shark, 5' to 7'",23-Aug-2017,Aug,n,M
31,2017.08.10,2017,Unprovoked,usa,13,Possibly a juvenile blacktip shark,10-Aug-2017,Aug,n,M
32,2017.08.03,2017,Provoked,usa,34,4' shark,03-Aug-2017,Aug,n,M
33,2017.07.29.c,2017,Invalid,usa,10,A small shark,29-Jul-2017,Jul,,M
34,2017.07.20.b,2017,Boating,usa,40,"White shark, 11' to 13'",20-Jul-2017,Jul,n,M
35,2017.07.20.a,2017,Unprovoked,usa,50,"White shark, 8' to 10'",20-Jul-2017,Jul,n,M
36,2017.07.09,2017,Unprovoked,usa,46,"Bull shark, 4' to 5'",09-Jul-2017,Jul,n,M
37,2017.07.07,2017,Unprovoked,south africa,13,"White shark, 2.5 m",07-Jul-2017,Jul,n,F
38,2017.06.11,2017,Unprovoked,australia,48,"White shark, 4 m",11-Jun-2017,Jun,n,M
39,2017.06.02,2017,Unprovoked,bahamas,32,Tiger shark,02-Jun-2017,Jun,n,F
40,2017.05.03,2017,Invalid,usa,18,Shark involvement highly doubtful,03-May-2017,May,,F
41,2017.04.17.a,2017,Unprovoked,australia,17,White shark,17-Apr-2017,Apr,y,F
42,2017.04.14,2017,Unprovoked,usa,28,"Tiger shark, 12'",14-Apr-2017,Apr,n,M
43,2017.04.02.a,2017,Unprovoked,usa,17,"Bull shark, 5' to 7'",02-Apr-2017,Apr,n,F
44,2017.01.21,2017,Unprovoked,australia,55,"Bull shark, 4 m",21-Jan-2017,Jan,n,M
45,2017.01.09,2017,Unprovoked,indonesia,48,"Bull shark, 1 m",09-Jan-2017,Jan,n,M
46,2017.01.03,2017,Invalid,australia,20,Shark involvement not confirmed,03-Jan-2017,Jan,,M
47,2016.12.19,2016,Unprovoked,south africa,55,"White shark, 4 m",19-Dec-2016,Dec,n,M
48,2016.12.11.a,2016,Invalid,usa,19,Shark involvement not confirmed,11-Dec-2016,Dec,,M
49,2016.12.06,2016,Provoked,australia,20,"Wobbegong shark, 2m",06-Dec-2016,Dec,n,M
50,2016.12.01,2016,Unprovoked,australia,65,White shark,01-Dec-2016,Dec,n,M
51,2016.11.28,2016,Provoked,australia,73,"Broadnose sevengill shark, 1.5 m",28-Nov-2016,Nov,n,M
52,2016.11.14,2016,Unprovoked,usa,58,Tiger shark,14-Nov-2016,Nov,n,F
53,2016.10.21,2016,Unprovoked,usa,36, 6' to 8' shark,21-Oct-2016,Oct,n,M
54,2016.09.26,2016,Unprovoked,australia,17,"White shark, 3.5 m",26-Sep-2016,Sep,n,M
55,2016.09.11,2016,Unprovoked,usa,60s,3' to 4' shark,11-Sep-2016,Sep,n,M
56,2016.09.07,2016,Unprovoked,usa,51,"Tiger shark, 10'",07-Sep-2016,Sep,n,F
57,2016.08.29.b,2016,Unprovoked,usa,25,"Bull shark, 6'",29-Aug-2016,Aug,n,M
58,2016.08.06,2016,Unprovoked,usa,21,"Tiger shark, 10' ",06-Aug-2016,Aug,n,M
59,2016.07.29,2016,Unprovoked,spain,40,Blue shark,29-Jul-2016,Jul,n,M
60,2016.07.20,2016,Provoked,australia,31,"reef shark, 1m",20-Jul-2016,Jul,n,M
61,2016.07.15.b,2016,Unprovoked,usa,61,"White shark, 10' to 12'",15-Jul-2016,Jul,n,M
62,2016.07.07.b,2016,Provoked,usa,59,dogfish shark,07-Jul-2016,Jul,n,M
63,2016.07.04,2016,Provoked,australia,34,Tawny nurse shark,04-Jul-2016,Jul,n,M
64,2016.06.21.b,2016,Unprovoked,usa,42,3' to 5' shark,21-Jun-2016,Jun,n,M
65,2016.06.14,2016,Unprovoked,usa,6,3' to 4' shark,14-Jun-2016,Jun,n,F
66,2016.06.11,2016,Unprovoked,usa,19,3' shark,11-Jun-2016,Jun,n,M
67,2016.06.07,2016,Invalid,usa,27,Said to involve an 8' shark but more likely damage caused by debris,07-Jun-2016,Jun,,M
68,2016.06.05.a,2016,Unprovoked,australia,60,3+ m shark,05-Jun-2016,Jun,y,F
69,2016.06.04,2016,Unprovoked,egypt,23,Mako shark,04-Jun-2016,Jun,n,M
70,2016.05.31,2016,Unprovoked,australia,29,White shark,31-May-2016,May,y,M
71,2016.05.29.a,2016,Unprovoked,usa,13,5' shark,29-May-2016,May,n,M
72,2016.05.21.b,2016,Unprovoked,usa,22,"Bull shark, 4' to 5'",21-May-2016,May,n,F
73,2016.05.18,2016,Unprovoked,usa,48,"Blacktip shark, 4'",18-May-2016,May,n,M
74,2016.05.15,2016,Provoked,usa,23,"Nurse shark, 2'",15-May-2016,May,n,F
