,case_number,year,country,age,species_,mes,fatal,sexo,especie_cat,age_limpio
0,2018.06.25,2018,usa,57,White shark,Jun,n,F,White,57.0
1,2018.06.03.a,2018,brazil,18,Tiger shark,Jun,y,M,Tiger,18.0
2,2018.05.26.b,2018,usa,15,"Bull shark, 6'",May,n,M,Bull,15.0
3,2018.05.24,2018,australia,32,Grey reef shark,May,n,M,Grey,32.0
4,2018.05.13.a,2018,england,21,Invalid incident,May,n,M,Unspecified,21.0
5,2018.04.28.b,2018,costa rica,30,Tiger shark,Apr,n,M,Tiger,30.0
6,2018.04.25.a,2018,australia,60,3 m shark,Apr,n,M,Unspecified,60.0
7,2018.04.23,2018,maldives,32,Tiger shark,Apr,n,M,Tiger,32.0
8,2018.04.22,2018,south africa,33,"White shark, 2.5 m",Apr,n,M,White,33.0
9,2018.04.03,2018,south africa,19,White shark,Apr,n,M,White,19.0
10,2018.03.31,2018,usa,25,"Tiger shark, 12'",Mar,n,M,Tiger,25.0
11,2018.03.14,2018,australia,10,Wobbegong shark,Mar,n,M,Unspecified,10.0
12,2018.03.09.b,2018,australia,69,3.5 m shark,Mar,n,M,Unspecified,69.0
13,2018.03.09.a,2018,australia,18,1.8 m shark,Mar,n,M,Unspecified,18.0
14,2018.02.23,2018,australia,55,"Juvenile white shark,  2.7 to 3.2 m",Feb,n,F,White,55.0
15,2018.02.15,2018,australia,35,"Bull shark, 2 m",Feb,n,M,Bull,35.0
16,2018.01.12,2018,brazil,20,small shark,Jan,n,M,Unspecified,20.0
17,2017.12.31,2017,usa,54,Tiger shark,Dec,n,F,Tiger,54.0
18,2017.11.24,2017,usa,25,"White shark, 4.6 m",Nov,n,M,White,25.0
19,2017.11.13,2017,australia,25,2 m shark,Nov,n,M,Unspecified,25.0
20,2017.11.04,2017,cuba,22,Tiger shark,Nov,y,M,Tiger,22.0
21,2017.10.28,2017,australia,31,"Wobbegong shark, 1 m",Oct,n,M,Unspecified,31.0
22,2017.10.22,2017,australia,15,"White shark, 4.5 m",Oct,n,F,White,15.0
23,2017.10.09,2017,usa,54,"Tiger shark, 8 to 10 feet",Oct,n,M,Tiger,54.0
24,2017.10.05,2017,usa,40,8' shark,Oct,n,F,Unspecified,40.0
25,2017.09.24.b,2017,usa,33,Questionable,Sep,,M,Unspecified,33.0
26,2017.09.13,2017,usa,18,5' to 6' shark,Sep,n,M,Unspecified,18.0
27,2017.09.10.a,2017,australia,35,"White shark, 3 to 3.5m ",Sep,n,M,White,35.0
28,2017.08.29,2017,australia,37,"White shark, 3 m",Aug,n,M,White,37.0
29,2017.08.26.b,2017,spain,11,Shark involvement questionable,Aug,,F,Unspecified,11.0
30,2017.08.23,2017,usa,69,"White shark, 5' to 7'",Aug,n,M,White,69.0
31,2017.08.10,2017,usa,13,Possibly a juvenile blacktip shark,Aug,n,M,Unspecified,13.0
32,2017.08.03,2017,usa,34,4' shark,Aug,n,M,Unspecified,34.0
33,2017.07.29.c,2017,usa,10,A small shark,Jul,,M,Unspecified,10.0
34,2017.07.20.b,2017,usa,40,"White shark, 11' to 13'",Jul,n,M,White,40.0
35,2017.07.20.a,2017,usa,50,"White shark, 8' to 10'",Jul,n,M,White,50.0
36,2017.07.09,2017,usa,46,"Bull shark, 4' to 5'",Jul,n,M,Bull,46.0
37,2017.07.07,2017,south africa,13,"White shark, 2.5 m",Jul,n,F,White,13.0
38,2017.06.11,2017,australia,48,"White shark, 4 m",Jun,n,M,White,48.0
39,2017.06.02,2017,bahamas,32,Tiger shark,Jun,n,F,Tiger,32.0
40,2017.05.03,2017,usa,18,Shark involvement highly doubtful,May,,F,Unspecified,18.0
41,2017.04.17.a,2017,australia,17,White shark,Apr,y,F,White,17.0
42,2017.04.14,2017,usa,28,"Tiger shark, 12'",Apr,n,M,Tiger,28.0
43,2017.04.02.a,2017,usa,17,"Bull shark, 5' to 7'",Apr,n,F,Bull,17.0
44,2017.01.21,2017,australia,55,"Bull shark, 4 m",Jan,n,M,Bull,55.0
45,2017.01.09,2017,indonesia,48,"Bull shark, 1 m",Jan,n,M,Bull,48.0
46,2017.01.03,2017,australia,20,Shark involvement not confirmed,Jan,,M,Unspecified,20.0
47,2016.12.19,2016,south africa,55,"White shark, 4 m",Dec,n,M,White,55.0
48,2016.12.11.a,2016,usa,19,Shark involvement not confirmed,Dec,,M,Unspecified,19.0
49,2016.12.06,2016,australia,20,"Wobbegong shark, 2m",Dec,n,M,Unspecified,20.0
50,2016.12.01,2016,australia,65,White shark,Dec,n,M,White,65.0
51,2016.11.28,2016,australia,73,"Broadnose sevengill shark, 1.5 m",Nov,n,M,Unspecified,73.0
52,2016.11.14,2016,usa,58,Tiger shark,Nov,n,F,Tiger,58.0
53,2016.10.21,2016,usa,36, 6' to 8' shark,Oct,n,M,Unspecified,36.0
54,2016.09.26,2016,australia,17,"White shark, 3.5 m",Sep,n,M,White,17.0
55,2016.09.11,2016,usa,60s,3' to 4' shark,Sep,n,M,Unspecified,60.0
56,2016.09.07,2016,usa,51,"Tiger shark, 10'",Sep,n,F,Tiger,51.0
