,year,age_limpio
0,2018,57.0
1,2018,18.0
2,2018,15.0
3,2018,32.0
4,2018,21.0
5,2018,30.0
6,2018,60.0
7,2018,32.0
8,2018,33.0
9,2018,19.0
10,2018,25.0
11,2018,10.0
12,2018,25.0
13,2018,18.0
14,2018,55.0
15,2018,35.0
16,2018,20.0
17,2017,54.0
18,2017,25.0
19,2017,25.0
20,2017,22.0
21,2017,31.0
22,2017,15.0
23,2017,54.0
24,2017,40.0
25,2017,33.0
26,2017,18.0
27,2017,35.0
28,2017,37.0
29,2017,11.0
30,2017,25.0
31,2017,13.0
32,2017,34.0
33,2017,10.0
34,2017,40.0
35,2017,50.0
36,2017,46.0
37,2017,13.0
38,2017,48.0
39,2017,32.0
40,2017,18.0
41,2017,17.0
42,2017,28.0
43,2017,17.0
44,2017,55.0
45,2017,48.0
46,2017,20.0
47,2016,55.0
48,2016,19.0
49,2016,20.0
50,2016,65.0
51,2016,25.0
52,2016,58.0
53,2016,36.0
54,2016,17.0
55,2016,60.0
56,2016,51.0
57,2016,25.0
58,2016,21.0
59,2016,40.0
60,2016,31.0
61,2016,61.0
62,2016,59.0
63,2016,34.0
64,2016,42.0
65,2016,6.0
66,2016,19.0
67,2016,27.0
68,2016,60.0
69,2016,23.0
70,2016,29.0
71,2016,13.0
72,2016,22.0
73,2016,48.0
74,2016,23.0
75,2016,39.0
76,2016,24.0
77,2016,12.0
78,2016,22.0
79,2016,26.0
80,2016,25.0
81,2016,48.0
82,2016,11.0
83,2016,31.0
84,2015,25.0
85,2015,43.0
86,2015,55.0
87,2015,20.0
88,2015,9.0
89,2015,28.0
90,2015,42.0
91,2015,21.0
92,2015,21.0
93,2015,32.0
94,2015,44.0
95,2015,25.0
96,2015,13.0
97,2015,14.0
98,2015,22.0
99,2015,14.0
100,2015,27.0
101,2015,12.0
102,2015,42.0
103,2015,50.0
104,2015,29.0
105,2015,62.0
106,2015,37.0
107,2015,54.0
108,2015,21.0
109,2015,15.0
110,2015,10.0
111,2015,22.0
112,2015,10.0
113,2015,57.0
114,2015,52.0
115,2015,25.0
116,2015,35.0
117,2015,46.0
118,2015,38.0
119,2015,52.0
120,2015,32.0
121,2015,25.0
122,2015,12.0
123,2015,18.0
124,2015,19.0
125,2015,23.0
126,2015,43.0
127,2015,6.0
128,2015,37.0
129,2015,16.0
130,2015,12.0
131,2015,13.0
132,2015,11.0
133,2015,47.0
134,2015,19.0
135,2015,18.0
136,2015,29.0
137,2015,63.0
138,2015,26.0
139,2015,25.0
140,2015,13.0
141,2015,25.0
142,2015,23.0
143,2015,58.0
144,2015,9.0
145,2015,22.0
146,2015,41.0
147,2015,35.0
148,2015,57.0
