,timepoint,cloudcover,highcloud,midcloud,lowcloud,rh_profile,wind_profile,temp2m,lifted_index,rh2m,msl_pressure,prec_type,prec_amount,snow_depth,wind10m.direction,wind10m.speed,pais
0,3,1,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 14}, {'layer': '900mb', 'rh': 12}, {'layer': '850mb', 'rh': 7}, {'layer': '800mb', 'rh': 5}, {'layer': '750mb', 'rh': 5}, {'layer': '700mb', 'rh': 2}, {'layer': '650mb', 'rh': -1}, {'layer': '600mb', 'rh': -2}, {'layer': '550mb', 'rh': -3}, {'layer': '500mb', 'rh': -3}, {'layer': '450mb', 'rh': -3}, {'layer': '400mb', 'rh': 0}, {'layer': '350mb', 'rh': -1}, {'layer': '300mb', 'rh': 2}, {'layer': '250mb', 'rh': 2}, {'layer': '200mb', 'rh': -1}]","[{'layer': '950mb', 'direction': 95, 'speed': 4}, {'layer': '900mb', 'direction': 95, 'speed': 4}, {'layer': '850mb', 'direction': 90, 'speed': 5}, {'layer': '800mb', 'direction': 80, 'speed': 5}, {'layer': '750mb', 'direction': 65, 'speed': 4}, {'layer': '700mb', 'direction': 65, 'speed': 4}, {'layer': '650mb', 'direction': 65, 'speed': 3}, {'layer': '600mb', 'direction': 60, 'speed': 3}, {'layer': '550mb', 'direction': 80, 'speed': 2}, {'layer': '500mb', 'direction': 165, 'speed': 2}, {'layer': '450mb', 'direction': 195, 'speed': 3}, {'layer': '400mb', 'direction': 200, 'speed': 3}, {'layer': '350mb', 'direction': 235, 'speed': 5}, {'layer': '300mb', 'direction': 260, 'speed': 6}, {'layer': '250mb', 'direction': 260, 'speed': 6}, {'layer': '200mb', 'direction': 250, 'speed': 6}]",26,-1,12,1011,none,1,0,95,3,papua_new_guinea
1,6,1,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 12}, {'layer': '900mb', 'rh': 8}, {'layer': '850mb', 'rh': 6}, {'layer': '800mb', 'rh': 6}, {'layer': '750mb', 'rh': 3}, {'layer': '700mb', 'rh': -1}, {'layer': '650mb', 'rh': -3}, {'layer': '600mb', 'rh': -2}, {'layer': '550mb', 'rh': -3}, {'layer': '500mb', 'rh': -3}, {'layer': '450mb', 'rh': -3}, {'layer': '400mb', 'rh': -2}, {'layer': '350mb', 'rh': 0}, {'layer': '300mb', 'rh': 2}, {'layer': '250mb', 'rh': 0}, {'layer': '200mb', 'rh': -1}]","[{'layer': '950mb', 'direction': 90, 'speed': 4}, {'layer': '900mb', 'direction': 95, 'speed': 5}, {'layer': '850mb', 'direction': 85, 'speed': 5}, {'layer': '800mb', 'direction': 75, 'speed': 5}, {'layer': '750mb', 'direction': 65, 'speed': 4}, {'layer': '700mb', 'direction': 60, 'speed': 4}, {'layer': '650mb', 'direction': 55, 'speed': 3}, {'layer': '600mb', 'direction': 45, 'speed': 3}, {'layer': '550mb', 'direction': 60, 'speed': 2}, {'layer': '500mb', 'direction': 175, 'speed': 2}, {'layer': '450mb', 'direction': 200, 'speed': 3}, {'layer': '400mb', 'direction': 210, 'speed': 3}, {'layer': '350mb', 'direction': 235, 'speed': 5}, {'layer': '300mb', 'direction': 255, 'speed': 6}, {'layer': '250mb', 'direction': 245, 'speed': 6}, {'layer': '200mb', 'direction': 245, 'speed': 6}]",26,-1,12,1013,none,1,0,90,3,papua_new_guinea
2,9,1,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 14}, {'layer': '900mb', 'rh': 8}, {'layer': '850mb', 'rh': 5}, {'layer': '800mb', 'rh': 6}, {'layer': '750mb', 'rh': 6}, {'layer': '700mb', 'rh': 1}, {'layer': '650mb', 'rh': -3}, {'layer': '600mb', 'rh': -2}, {'layer': '550mb', 'rh': -3}, {'layer': '500mb', 'rh': -3}, {'layer': '450mb', 'rh': -4}, {'layer': '400mb', 'rh': -1}, {'layer': '350mb', 'rh': 1}, {'layer': '300mb', 'rh': 0}, {'layer': '250mb', 'rh': 1}, {'layer': '200mb', 'rh': -2}]","[{'layer': '950mb', 'direction': 90, 'speed': 4}, {'layer': '900mb', 'direction': 85, 'speed': 4}, {'layer': '850mb', 'direction': 75, 'speed': 4}, {'layer': '800mb', 'direction': 70, 'speed': 4}, {'layer': '750mb', 'direction': 60, 'speed': 4}, {'layer': '700mb', 'direction': 65, 'speed': 3}, {'layer': '650mb', 'direction': 60, 'speed': 3}, {'layer': '600mb', 'direction': 55, 'speed': 2}, {'layer': '550mb', 'direction': 100, 'speed': 2}, {'layer': '500mb', 'direction': 160, 'speed': 2}, {'layer': '450mb', 'direction': 200, 'speed': 3}, {'layer': '400mb', 'direction': 215, 'speed': 4}, {'layer': '350mb', 'direction': 245, 'speed': 6}, {'layer': '300mb', 'direction': 255, 'speed': 6}, {'layer': '250mb', 'direction': 220, 'speed': 6}, {'layer': '200mb', 'direction': 230, 'speed': 6}]",26,2,11,1012,none,1,0,90,3,papua_new_guinea
3,12,1,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 14}, {'layer': '900mb', 'rh': 10}, {'layer': '850mb', 'rh': 8}, {'layer': '800mb', 'rh': 6}, {'layer': '750mb', 'rh': 4}, {'layer': '700mb', 'rh': 3}, {'layer': '650mb', 'rh': -2}, {'layer': '600mb', 'rh': -2}, {'layer': '550mb', 'rh': -2}, {'layer': '500mb', 'rh': -3}, {'layer': '450mb', 'rh': -3}, {'layer': '400mb', 'rh': 2}, {'layer': '350mb', 'rh': -1}, {'layer': '300mb', 'rh': 1}, {'layer': '250mb', 'rh': 0}, {'layer': '200mb', 'rh': 0}]","[{'layer': '950mb', 'direction': 95, 'speed': 4}, {'layer': '900mb', 'direction': 95, 'speed': 4}, {'layer': '850mb', 'direction': 85, 'speed': 4}, {'layer': '800mb', 'direction': 70, 'speed': 4}, {'layer': '750mb', 'direction': 65, 'speed': 4}, {'layer': '700mb', 'direction': 65, 'speed': 3}, {'layer': '650mb', 'direction': 60, 'speed': 3}, {'layer': '600mb', 'direction': 40, 'speed': 3}, {'layer': '550mb', 'direction': 45, 'speed': 2}, {'layer': '500mb', 'direction': 205, 'speed': 2}, {'layer': '450mb', 'direction': 210, 'speed': 3}, {'layer': '400mb', 'direction': 225, 'speed': 4}, {'layer': '350mb', 'direction': 255, 'speed': 5}, {'layer': '300mb', 'direction': 240, 'speed': 5}, {'layer': '250mb', 'direction': 190, 'speed': 5}, {'layer': '200mb', 'direction': 190, 'speed': 5}]",26,-1,12,1011,none,1,0,100,3,papua_new_guinea
4,15,1,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 15}, {'layer': '900mb', 'rh': 12}, {'layer': '850mb', 'rh': 10}, {'layer': '800mb', 'rh': 6}, {'layer': '750mb', 'rh': 5}, {'layer': '700mb', 'rh': 2}, {'layer': '650mb', 'rh': -2}, {'layer': '600mb', 'rh': -2}, {'layer': '550mb', 'rh': -2}, {'layer': '500mb', 'rh': -2}, {'layer': '450mb', 'rh': -1}, {'layer': '400mb', 'rh': 1}, {'layer': '350mb', 'rh': 0}, {'layer': '300mb', 'rh': -2}, {'layer': '250mb', 'rh': -3}, {'layer': '200mb', 'rh': 3}]","[{'layer': '950mb', 'direction': 110, 'speed': 4}, {'layer': '900mb', 'direction': 95, 'speed': 4}, {'layer': '850mb', 'direction': 90, 'speed': 4}, {'layer': '800mb', 'direction': 80, 'speed': 4}, {'layer': '750mb', 'direction': 70, 'speed': 4}, {'layer': '700mb', 'direction': 65, 'speed': 3}, {'layer': '650mb', 'direction': 70, 'speed': 3}, {'layer': '600mb', 'direction': 50, 'speed': 3}, {'layer': '550mb', 'direction': 45, 'speed': 2}, {'layer': '500mb', 'direction': 290, 'speed': 2}, {'layer': '450mb', 'direction': 230, 'speed': 3}, {'layer': '400mb', 'direction': 240, 'speed': 3}, {'layer': '350mb', 'direction': 260, 'speed': 5}, {'layer': '300mb', 'direction': 200, 'speed': 4}, {'layer': '250mb', 'direction': 155, 'speed': 6}, {'layer': '200mb', 'direction': 165, 'speed': 6}]",25,-1,11,1012,none,1,0,105,3,papua_new_guinea
5,18,2,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 14}, {'layer': '900mb', 'rh': 8}, {'layer': '850mb', 'rh': 7}, {'layer': '800mb', 'rh': 6}, {'layer': '750mb', 'rh': 4}, {'layer': '700mb', 'rh': -1}, {'layer': '650mb', 'rh': -3}, {'layer': '600mb', 'rh': -2}, {'layer': '550mb', 'rh': -3}, {'layer': '500mb', 'rh': -2}, {'layer': '450mb', 'rh': 0}, {'layer': '400mb', 'rh': 1}, {'layer': '350mb', 'rh': -1}, {'layer': '300mb', 'rh': -2}, {'layer': '250mb', 'rh': -2}, {'layer': '200mb', 'rh': 0}]","[{'layer': '950mb', 'direction': 100, 'speed': 4}, {'layer': '900mb', 'direction': 95, 'speed': 4}, {'layer': '850mb', 'direction': 90, 'speed': 4}, {'layer': '800mb', 'direction': 75, 'speed': 4}, {'layer': '750mb', 'direction': 65, 'speed': 4}, {'layer': '700mb', 'direction': 70, 'speed': 3}, {'layer': '650mb', 'direction': 70, 'speed': 3}, {'layer': '600mb', 'direction': 70, 'speed': 2}, {'layer': '550mb', 'direction': 305, 'speed': 2}, {'layer': '500mb', 'direction': 270, 'speed': 2}, {'layer': '450mb', 'direction': 220, 'speed': 3}, {'layer': '400mb', 'direction': 245, 'speed': 3}, {'layer': '350mb', 'direction': 255, 'speed': 5}, {'layer': '300mb', 'direction': 195, 'speed': 3}, {'layer': '250mb', 'direction': 145, 'speed': 5}, {'layer': '200mb', 'direction': 150, 'speed': 6}]",26,-1,11,1013,none,1,0,100,4,papua_new_guinea
6,21,2,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 14}, {'layer': '900mb', 'rh': 10}, {'layer': '850mb', 'rh': 6}, {'layer': '800mb', 'rh': 5}, {'layer': '750mb', 'rh': 3}, {'layer': '700mb', 'rh': -1}, {'layer': '650mb', 'rh': -3}, {'layer': '600mb', 'rh': -2}, {'layer': '550mb', 'rh': -3}, {'layer': '500mb', 'rh': -3}, {'layer': '450mb', 'rh': 0}, {'layer': '400mb', 'rh': 0}, {'layer': '350mb', 'rh': -2}, {'layer': '300mb', 'rh': -3}, {'layer': '250mb', 'rh': -1}, {'layer': '200mb', 'rh': 2}]","[{'layer': '950mb', 'direction': 95, 'speed': 4}, {'layer': '900mb', 'direction': 90, 'speed': 4}, {'layer': '850mb', 'direction': 90, 'speed': 4}, {'layer': '800mb', 'direction': 75, 'speed': 4}, {'layer': '750mb', 'direction': 70, 'speed': 4}, {'layer': '700mb', 'direction': 70, 'speed': 3}, {'layer': '650mb', 'direction': 65, 'speed': 3}, {'layer': '600mb', 'direction': 50, 'speed': 2}, {'layer': '550mb', 'direction': 335, 'speed': 2}, {'layer': '500mb', 'direction': 310, 'speed': 2}, {'layer': '450mb', 'direction': 245, 'speed': 3}, {'layer': '400mb', 'direction': 250, 'speed': 3}, {'layer': '350mb', 'direction': 225, 'speed': 3}, {'layer': '300mb', 'direction': 185, 'speed': 3}, {'layer': '250mb', 'direction': 150, 'speed': 5}, {'layer': '200mb', 'direction': 150, 'speed': 5}]",26,-1,11,1012,none,1,0,95,3,papua_new_guinea
7,24,3,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 14}, {'layer': '900mb', 'rh': 13}, {'layer': '850mb', 'rh': 14}, {'layer': '800mb', 'rh': 6}, {'layer': '750mb', 'rh': 4}, {'layer': '700mb', 'rh': 0}, {'layer': '650mb', 'rh': -3}, {'layer': '600mb', 'rh': -2}, {'layer': '550mb', 'rh': -3}, {'layer': '500mb', 'rh': -3}, {'layer': '450mb', 'rh': 0}, {'layer': '400mb', 'rh': 1}, {'layer': '350mb', 'rh': -3}, {'layer': '300mb', 'rh': -2}, {'layer': '250mb', 'rh': 0}, {'layer': '200mb', 'rh': 8}]","[{'layer': '950mb', 'direction': 100, 'speed': 3}, {'layer': '900mb', 'direction': 95, 'speed': 4}, {'layer': '850mb', 'direction': 90, 'speed': 4}, {'layer': '800mb', 'direction': 80, 'speed': 4}, {'layer': '750mb', 'direction': 70, 'speed': 3}, {'layer': '700mb', 'direction': 70, 'speed': 3}, {'layer': '650mb', 'direction': 65, 'speed': 3}, {'layer': '600mb', 'direction': 50, 'speed': 2}, {'layer': '550mb', 'direction': 315, 'speed': 2}, {'layer': '500mb', 'direction': 320, 'speed': 3}, {'layer': '450mb', 'direction': 255, 'speed': 2}, {'layer': '400mb', 'direction': 260, 'speed': 3}, {'layer': '350mb', 'direction': 235, 'speed': 3}, {'layer': '300mb', 'direction': 205, 'speed': 4}, {'layer': '250mb', 'direction': 170, 'speed': 4}, {'layer': '200mb', 'direction': 165, 'speed': 5}]",26,-1,11,1010,none,1,0,100,3,papua_new_guinea
8,27,2,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 13}, {'layer': '900mb', 'rh': 12}, {'layer': '850mb', 'rh': 7}, {'layer': '800mb', 'rh': 7}, {'layer': '750mb', 'rh': 6}, {'layer': '700mb', 'rh': 1}, {'layer': '650mb', 'rh': -3}, {'layer': '600mb', 'rh': -2}, {'layer': '550mb', 'rh': -3}, {'layer': '500mb', 'rh': -3}, {'layer': '450mb', 'rh': 0}, {'layer': '400mb', 'rh': -1}, {'layer': '350mb', 'rh': -3}, {'layer': '300mb', 'rh': -1}, {'layer': '250mb', 'rh': 7}, {'layer': '200mb', 'rh': 2}]","[{'layer': '950mb', 'direction': 100, 'speed': 3}, {'layer': '900mb', 'direction': 90, 'speed': 4}, {'layer': '850mb', 'direction': 90, 'speed': 4}, {'layer': '800mb', 'direction': 85, 'speed': 4}, {'layer': '750mb', 'direction': 75, 'speed': 3}, {'layer': '700mb', 'direction': 70, 'speed': 3}, {'layer': '650mb', 'direction': 60, 'speed': 3}, {'layer': '600mb', 'direction': 35, 'speed': 2}, {'layer': '550mb', 'direction': 300, 'speed': 2}, {'layer': '500mb', 'direction': 310, 'speed': 3}, {'layer': '450mb', 'direction': 270, 'speed': 2}, {'layer': '400mb', 'direction': 265, 'speed': 3}, {'layer': '350mb', 'direction': 220, 'speed': 3}, {'layer': '300mb', 'direction': 190, 'speed': 3}, {'layer': '250mb', 'direction': 160, 'speed': 5}, {'layer': '200mb', 'direction': 170, 'speed': 4}]",26,-1,11,1010,none,1,0,95,3,papua_new_guinea
9,30,2,-9999,-9999,-9999,"[{'layer': '950mb', 'rh': 14}, {'layer': '900mb', 'rh': 13}, {'layer': '850mb', 'rh': 9}, {'layer': '800mb', 'rh': 6}, {'layer': '750mb', 'rh': 3}, {'layer': '700mb', 'rh': -1}, {'layer': '650mb', 'rh': -3}, {'layer': '600mb', 'rh': -2}, {'layer': '550mb', 'rh': -4}, {'layer': '500mb', 'rh': -4}, {'layer': '450mb', 'rh': -1}, {'layer': '400mb', 'rh': -1}, {'layer': '350mb', 'rh': -3}, {'layer': '300mb', 'rh': 2}, {'layer': '250mb', 'rh': 0}, {'layer': '200mb', 'rh': 2}]","[{'layer': '950mb', 'direction': 95, 'speed': 4}, {'layer': '900mb', 'direction': 85, 'speed': 4}, {'layer': '850mb', 'direction': 85, 'speed': 4}, {'layer': '800mb', 'direction': 85, 'speed': 4}, {'layer': '750mb', 'direction': 80, 'speed': 3}, {'layer': '700mb', 'direction': 70, 'speed': 3}, {'layer': '650mb', 'direction': 55, 'speed': 3}, {'layer': '600mb', 'direction': 40, 'speed': 2}, {'layer': '550mb', 'direction': 305, 'speed': 2}, {'layer': '500mb', 'direction': 320, 'speed': 3}, {'layer': '450mb', 'direction': 295, 'speed': 2}, {'layer': '400mb', 'direction': 270, 'speed': 3}, {'layer': '350mb', 'direction': 230, 'speed': 3}, {'layer': '300mb', 'direction': 165, 'speed': 4}, {'layer': '250mb', 'direction': 160, 'speed': 5}, {'layer': '200mb', 'direction': 185, 'speed': 5}]",26,2,11,1012,none,1,0,95,3,papua_new_guinea
